,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_2_499_HSV_V_fixed,2,499,2019:02:06 09:54:25,20.95,21.82,30.63,26.17,12.52,15.64
0,2019_Feb_06_Phantom_Flight_2_402_HSV_V_fixed,2,402,2019:02:06 09:51:11,20.8,21.3,31.78,26.57,13.53,16.2
0,2019_Feb_06_Phantom_Flight_1_389_HSV_V_fixed,1,389,2019:02:06 10:11:44,17.34,22.66,31.48,26.06,8.04,14.83
0,2019_Feb_06_Phantom_Flight_2_367_HSV_V_fixed,2,367,2019:02:06 09:50:01,22.27,23.9,31.64,26.36,13.83,17.88
0,2019_Feb_06_Phantom_Flight_1_477_HSV_V_fixed,1,477,2019:02:06 10:14:42,20.99,23.32,30.99,26.44,11.12,16.4
0,2019_Feb_06_Phantom_Flight_5_75_HSV_V_fixed,5,75,2019:02:06 11:05:29,19.13,21.86,31.49,26.76,12.82,16.94
0,2019_Feb_06_Phantom_Flight_4_327_HSV_V_fixed,4,327,2019:02:06 10:56:22,15.53,21.24,31.55,26.78,9.55,15.46
0,2019_Feb_06_Phantom_Flight_3_304_HSV_V_fixed,3,304,2019:02:06 10:33:07,20.37,23.15,31.79,26.69,12.04,17.14
0,2019_Feb_06_Phantom_Flight_3_130_HSV_V_fixed,3,130,2019:02:06 10:27:19,17.26,22.93,30.87,25.82,8.65,15.57
0,2019_Feb_06_Phantom_Flight_4_38_HSV_V_fixed,4,38,2019:02:06 10:46:44,19.38,22.62,31.28,26.09,13.4,17.64
0,2019_Feb_06_Phantom_Flight_2_228_HSV_V_fixed,2,228,2019:02:06 09:45:19,17.75,22.97,32.06,26.48,9.95,16.41
0,2019_Feb_06_Phantom_Flight_4_113_HSV_V_fixed,4,113,2019:02:06 10:49:14,21.79,24.37,31.42,26.36,13.87,18.91
0,2019_Feb_06_Phantom_Flight_4_188_HSV_V_fixed,4,188,2019:02:06 10:51:44,20.23,23.97,31.28,26.57,12.41,18.0
0,2019_Feb_06_Phantom_Flight_5_170_HSV_V_fixed,5,170,2019:02:06 11:08:39,19.1,23.6,31.56,26.49,13.26,18.88
0,2019_Feb_06_Phantom_Flight_5_290_HSV_V_fixed,5,290,2019:02:06 11:12:39,19.15,22.95,31.15,26.21,12.29,17.52
0,2019_Feb_06_Phantom_Flight_2_153_HSV_V_fixed,2,153,2019:02:06 09:42:49,17.21,21.99,31.87,26.02,8.97,15.11
0,2019_Feb_06_Phantom_Flight_2_68_HSV_V_fixed,2,68,2019:02:06 09:39:57,20.15,23.3,31.78,26.44,11.46,16.63
0,2019_Feb_06_Phantom_Flight_4_268_HSV_V_fixed,4,268,2019:02:06 10:54:24,18.08,22.51,31.62,25.79,11.82,17.39
0,2019_Feb_06_Phantom_Flight_3_83_HSV_V_fixed,3,83,2019:02:06 10:25:45,17.07,23.66,31.77,25.79,8.9,16.47
0,2019_Feb_06_Phantom_Flight_5_48_HSV_V_fixed,5,48,2019:02:06 11:04:35,20.3,23.01,31.66,26.42,14.24,18.27
0,2019_Feb_06_Phantom_Flight_3_339_HSV_V_fixed,3,339,2019:02:06 10:34:17,19.13,21.87,32.22,26.82,10.48,15.11
0,2019_Feb_06_Phantom_Flight_5_236_HSV_V_fixed,5,236,2019:02:06 11:10:51,21.79,24.35,31.86,26.13,14.49,19.32
0,2019_Feb_06_Phantom_Flight_2_215_HSV_V_fixed,2,215,2019:02:06 09:44:53,18.11,23.05,31.29,26.06,10.13,16.3
0,2019_Feb_06_Phantom_Flight_3_276_HSV_V_fixed,3,276,2019:02:06 10:32:11,20.03,22.36,31.1,26.14,11.4,15.93
0,2019_Feb_06_Phantom_Flight_2_55_HSV_V_fixed,2,55,2019:02:06 09:39:31,22.35,24.13,30.6,25.89,12.99,17.9
0,2019_Feb_06_Phantom_Flight_1_505_HSV_V_fixed,1,505,2019:02:06 10:15:38,21.92,23.62,31.04,26.1,11.42,16.41
0,2019_Feb_06_Phantom_Flight_4_255_HSV_V_fixed,4,255,2019:02:06 10:53:58,17.34,22.66,32.13,26.62,11.53,17.83
0,2019_Feb_06_Phantom_Flight_3_196_HSV_V_fixed,3,196,2019:02:06 10:29:31,17.71,22.72,31.39,26.1,9.64,15.51
0,2019_Feb_06_Phantom_Flight_5_169_HSV_V_fixed,5,169,2019:02:06 11:08:37,19.1,23.77,31.65,26.69,13.29,19.09
0,2019_Feb_06_Phantom_Flight_4_191_HSV_V_fixed,4,191,2019:02:06 10:51:50,19.08,22.89,31.35,26.15,11.78,17.35
0,2019_Feb_06_Phantom_Flight_3_252_HSV_V_fixed,3,252,2019:02:06 10:31:23,19.46,22.52,30.43,26.02,11.25,16.42
0,2019_Feb_06_Phantom_Flight_4_271_HSV_V_fixed,4,271,2019:02:06 10:54:30,18.09,22.58,31.85,26.48,11.89,17.58
0,2019_Feb_06_Phantom_Flight_2_71_HSV_V_fixed,2,71,2019:02:06 09:40:03,19.35,23.13,31.07,26.24,11.13,16.52
0,2019_Feb_06_Phantom_Flight_5_289_HSV_V_fixed,5,289,2019:02:06 11:12:37,20.2,22.96,31.31,25.96,12.7,17.49
0,2019_Feb_06_Phantom_Flight_4_21_HSV_V_fixed,4,21,2019:02:06 10:46:10,19.43,23.32,30.28,25.56,13.15,18.13
0,2019_Feb_06_Phantom_Flight_5_212_HSV_V_fixed,5,212,2019:02:06 11:10:03,19.9,24.25,31.39,26.39,12.6,18.48
